Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Korea, Dem. People's Rep.",PRK,5800,1332,3576,498.340248962656,483,522,460,472,526,44,9.328,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Korea, Rep.",KOR,120100,226910,360356,368132,448037,473606,499093.92,527807,549454,254341,287163,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kuwait,KWT,10000,17486,27305,26610,30073,33387,42782,46450,50959,17004,20436,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kyrgyz Republic,KGZ,..,6051,12189,17388,20962,23120,27055,8751,6466,1578,1497.601,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lao PDR,LAO,3400,6411,16944,12732,9772,9986,9731,16299,16359,6537,2758,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Latvia,LVA,..,9816,43836,42107,41376,42392,47885,54356,61692,23100,23795,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lebanon,LBN,10300,10435,23568,23580,24066,24549,25550,25740,26942,9812,13934,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lesotho,LSO,4600,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Liberia,LBR,2300,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Libya,LBY,18200,6194,32064,26414,13298,10764,9686,12340,11339,6032.238,9046.238,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Lithuania,LTU,..,10197,9900,12622,12199,9719,12151,2375,2506,2619,1469,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Luxembourg,LUX,12300,34007,44059,47215,48569,48255,48289,51824,51938,32964.6,36357,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Macao SAR, China",MAC,..,11673,17859,20158,21472,23574,22924,24411,28685,6470,6773,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Madagascar,MDG,17200,20491,9451,10385,8852,7230,7650,10170,10600,4225.333,2038,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malawi,MWI,3600,4806,1644,1644,1687,1818,2327,2327,1354,367.394,405.023,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malaysia,MYS,130500,169263,430334.457756879,443318.55,463740,447001,473610.67,474940,498878,167785,83981.767,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Maldives,MDV,800,5970,..,26849,31472,33006,33904,26678,27199,9045,7647.367,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mali,MLI,..,1518,360,0,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Malta,MLT,6600,15394,14257,14022,13639,12305,12799,20903,19317,6289.09,5635,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Marshall Islands,MHL,3300,2324,..,..,..,..,2218,2244,1967,1918,2478,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mauritania,MRT,3600,3761,3984,4044,4277,4307,5331,4910,5566,2205,4104,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mauritius,MUS,8400,12162,12079,12131,12646,13614,14842,14940,14937,4319,2348,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mexico,MEX,177300,290412,435792.09,457921.907,508614,555984,567921,583408,605632,322333,445488,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Moldova,MDA,..,3682,7500,8400,8739,9625,14116,13590,11899,2851.909,4934,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Monaco,MCO,12500,31479,10956,10928.727,10728,611,3,3,3,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Mongolia,MNG,..,6200,4212,5705.56146973701,5219,6009,5277,7777,8310,3166,1435,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Montenegro,MNE,..,..,7164,6492,6864,6842,6436,6887,7192,..,20,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Morocco,MAR,27100,44542,68700,72345,75044,80085,86735,80154,91254,32519,50340,..
